item,exp,pronoun,cond,contrast,sent,target,/data/gpt2-medium_surp
1,1,he,m,Match,"When he was off work,",Richard,11.759073257446289
1,1,she,m,Mismatch,"When she was off work,",Keith,13.37795352935791
1,1,she,f,Match,"When she was off work, the",dancer,13.446553230285645
1,1,he,f,Mismatch,"When he was off work,",Laura,14.894011497497559
2,1,he,m,Match,"When he arrived,",Larry,13.133408546447754
2,1,she,m,Mismatch,"When she arrived,",Wayne,13.849079132080078
2,1,she,f,Match,"When she arrived,",Cheryl,13.453932762145996
2,1,he,f,Mismatch,"When he arrived,",Teresa,15.810094833374023
3,1,he,m,Match,"When he was fed up,",Guy,15.122406959533691
3,1,she,m,Mismatch,"When she was fed up,",Joseph,13.687278747558594
3,1,she,f,Match,"When she was fed up,",Cynthia,15.134729385375977
3,1,he,f,Mismatch,"When he was fed up, the",wife,11.344476699829102
4,1,he,m,Match,"When he was talking,",Joseph,12.667019844055176
4,1,she,m,Mismatch,"When she was talking,",Bradley,16.177989959716797
4,1,she,f,Match,"When she was talking,",Dana,15.443710327148438
4,1,he,f,Mismatch,"When he was talking,",Janet,16.161388397216797
5,1,he,m,Match,"When he was nearby,",Larry,13.232961654663086
5,1,she,m,Mismatch,"When she was nearby,",Joseph,12.840362548828125
5,1,she,f,Match,"When she was nearby, the",girl,5.1006340980529785
5,1,he,f,Mismatch,"When he was nearby,",Helen,13.869544982910156
6,1,he,m,Match,"When he was lost,",Donald,12.587437629699707
6,1,she,m,Mismatch,"When she was lost,",Brad,14.148785591125488
6,1,she,f,Match,"When she was lost,",Judy,12.754179954528809
6,1,he,f,Mismatch,"When he was lost, the",dancer,15.15002727508545
7,1,he,m,Match,"When he was bad-tempered,",Guy,16.58017349243164
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,14.308328628540039
7,1,she,f,Match,"When she was bad-tempered, the",woman,6.433864593505859
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,13.099255561828613
8,1,he,m,Match,"When he was jealous, the",father,8.210407257080078
8,1,she,m,Mismatch,"When she was jealous,",Steve,12.406821250915527
8,1,she,f,Match,"When she was jealous,",Catherine,13.782121658325195
8,1,he,f,Mismatch,"When he was jealous, the",dancer,14.08862590789795
9,1,he,m,Match,"When he was in residence,",Dan,12.446219444274902
9,1,she,m,Mismatch,"When she was in residence,",Russell,13.215468406677246
9,1,she,f,Match,"When she was in residence, the",woman,5.457425117492676
9,1,he,f,Mismatch,"When he was in residence, the",wife,8.678739547729492
10,1,he,m,Match,"When he was introduced,",Wayne,12.651140213012695
10,1,she,m,Mismatch,"When she was introduced,",Steve,11.623491287231445
10,1,she,f,Match,"When she was introduced,",Sally,12.653207778930664
10,1,he,f,Mismatch,"When he was introduced,",Teresa,16.097034454345703
11,1,he,m,Match,"When he arrived,",Joseph,11.435074806213379
11,1,she,m,Mismatch,"When she arrived,",Richard,12.36850357055664
11,1,she,f,Match,"When she arrived,",Cheryl,13.453937530517578
11,1,he,f,Mismatch,"When he arrived,",Janet,15.78217887878418
12,1,he,m,Match,"When he felt sad,",Guy,15.437575340270996
12,1,she,m,Mismatch,"When she felt sad,",Rodney,19.180728912353516
12,1,she,f,Match,"When she felt sad,",Amanda,14.200430870056152
12,1,he,f,Mismatch,"When he felt sad,",Sally,14.81143856048584
13,1,he,m,Match,"When he was present,",Wayne,14.25667953491211
13,1,she,m,Mismatch,"When she was present,",Larry,13.778718948364258
13,1,she,f,Match,"When she was present,",Carrie,14.855765342712402
13,1,he,f,Mismatch,"When he was present,",Lori,17.926563262939453
14,1,he,m,Match,"When he was depressed,",Richard,11.671122550964355
14,1,she,m,Mismatch,"When she was depressed,",Steve,13.310367584228516
14,1,she,f,Match,"When she was depressed,",Cynthia,15.59907341003418
14,1,he,f,Mismatch,"When he was depressed,",Amelia,17.797061920166016
15,1,he,m,Match,"When he was around,",Brad,12.76658821105957
15,1,she,m,Mismatch,"When she was around,",Wayne,13.90029239654541
15,1,she,f,Match,"When she was around,",Marie,14.799544334411621
15,1,he,f,Mismatch,"When he was around,",Dana,14.738494873046875
16,1,he,m,Match,"When he was near,",Joseph,11.72264289855957
16,1,she,m,Mismatch,"When she was near,",Richard,13.589176177978516
16,1,she,f,Match,"When she was near,",Dana,15.197954177856445
16,1,he,f,Mismatch,"When he was near,",Janet,16.35208511352539
17,1,he,m,Match,"When he was in court,",Bradley,12.456755638122559
17,1,she,m,Mismatch,"When she was in court,",Steve,13.409089088439941
