exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-2.7B_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,4.582184791564941
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,5.49111795425415
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,7.868703365325928
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,9.221428871154785
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,5.141427993774414
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,6.357484340667725
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,6.850986480712891
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,8.61676025390625
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,2.952880620956421
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,3.3349967002868652
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,6.035739421844482
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,7.623284816741943
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,5.229259490966797
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,5.194308757781982
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,3.7641220092773438
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,4.456553936004639
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,5.722318649291992
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,5.789204120635986
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,4.054741859436035
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,4.2973785400390625
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,2.9368810653686523
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,3.298391580581665
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,6.474911212921143
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,7.419687747955322
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,3.9730045795440674
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,3.4646878242492676
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,5.486712455749512
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,6.853640079498291
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,4.2522759437561035
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,3.6480605602264404
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,8.263434410095215
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,7.966102600097656
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,2.5200726985931396
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,3.826653480529785
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,4.8844194412231445
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,6.1937761306762695
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,8.737310409545898
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,8.11227035522461
