exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-xl_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,5.362551689147949
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,6.2051472663879395
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,7.611858367919922
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,8.510016441345215
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,4.081110954284668
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,7.750056743621826
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,5.733260154724121
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,9.179726600646973
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,3.4830470085144043
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,3.1571147441864014
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,6.181055068969727
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,6.731133937835693
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,4.0291948318481445
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,4.696987152099609
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,3.7074100971221924
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,4.736664772033691
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,5.189173221588135
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,6.1490936279296875
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,3.936633586883545
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,4.948944568634033
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,3.3740711212158203
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,5.135303497314453
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,6.125514984130859
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,7.656492710113525
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,5.021964073181152
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,4.448398590087891
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,5.378457546234131
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,7.009455680847168
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,4.572329998016357
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,5.841394901275635
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,8.52186107635498
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,10.331233978271484
