sent,word,pos,isSplit,isUnk,withPunct,surp,cond,item,region,isMulti,region_words,freq,UID,logfreq,previous_surp,previous2_surp,previous3_surp,previous_logfreq,previous2_logfreq,previous3_logfreq,predRT
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",Anna,0,0,0,0,0.0,fill-112,,1,0,Anna,28,fill-112,3.36729582998647,,,,,,,0.0
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",likes,1,0,0,0,15.4973182678223,fill-112,,2,0,likes,424,fill-112,6.05208916892442,0.0,,,3.36729582998647,,,29.894326938629217
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",to,3,0,0,0,9.94325279444456,fill-112,,3,1,listening to,0,fill-112,0.0,15.4973182678223,0.0,,6.05208916892442,3.36729582998647,,50.74857195203758
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",music,4,0,0,0,1.40631484985352,fill-112,,4,0,music,150,fill-112,5.01727983681492,9.94325279444456,15.4973182678223,0.0,0.0,6.05208916892442,3.36729582998647,53.65187745793916
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",on,5,0,0,0,4.72682428359985,fill-112,,5,0,on,7231,fill-112,8.88627090207201,1.40631484985352,9.94325279444456,15.4973182678223,5.01727983681492,0.0,6.05208916892442,31.670347925215957
"Anna likes listening to music on her phone, but Rose only listens to podcasts.","phone,",7,1,0,0,4.88614130020142,fill-112,,6,1,"her phone,",0,fill-112,0.0,4.72682428359985,1.40631484985352,9.94325279444456,8.88627090207201,5.01727983681492,0.0,21.8384110364914
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",but,8,0,0,0,2.1247501373291,fill-112,,7,0,but,4599,fill-112,8.43381158247719,4.88614130020142,4.72682428359985,1.40631484985352,0.0,8.88627090207201,5.01727983681492,23.41082492494583
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",Rose,9,0,0,0,18.4292087554932,fill-112,,8,0,Rose,224,fill-112,5.41610040220442,2.1247501373291,4.88614130020142,4.72682428359985,8.43381158247719,0.0,8.88627090207201,49.55261949348457
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",only,10,0,0,0,7.25709533691406,fill-112,,9,0,only,1529,fill-112,7.33302301438648,18.4292087554932,2.1247501373291,4.88614130020142,5.41610040220442,8.43381158247719,0.0,55.746240411758485
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",listens,11,0,0,0,3.23339200019836,fill-112,,10,0,listens,118,fill-112,4.77912349311153,7.25709533691406,18.4292087554932,2.1247501373291,7.33302301438648,5.41610040220442,8.43381158247719,57.509749705553105
"Anna likes listening to music on her phone, but Rose only listens to podcasts.",podcasts.,13,1,0,0,6.19110341370106,fill-112,,11,1,to podcasts.,0,fill-112,0.0,3.23339200019836,7.25709533691406,18.4292087554932,4.77912349311153,7.33302301438648,5.41610040220442,32.89810675652324
"As soon as the sprinter finished, he spotted his parents standing behind the sign and waved excitedly.",as,2,0,0,0,8.24680218845606,fill-102,,1,1,As soon as,45,fill-102,3.8286413964891,,,,,,,15.90808142153174
"As soon as the sprinter finished, he spotted his parents standing behind the sign and waved excitedly.",sprinter,4,1,0,0,22.3592760562897,fill-102,,2,1,the sprinter,0,fill-102,0.0,8.24680218845606,,,3.8286413964891,,,59.92977957046783
