item,exp,pronoun,cond,contrast,sent,target,/data/gpt2_surp
1,1,he,m,Match,"When he was off work,",Richard,11.810218811035156
1,1,she,m,Mismatch,"When she was off work,",Keith,13.0867338180542
1,1,she,f,Match,"When she was off work, the",dancer,13.223834037780762
1,1,he,f,Mismatch,"When he was off work,",Laura,13.827363967895508
2,1,he,m,Match,"When he arrived,",Larry,12.696198463439941
2,1,she,m,Mismatch,"When she arrived,",Wayne,15.382978439331055
2,1,she,f,Match,"When she arrived,",Cheryl,13.401495933532715
2,1,he,f,Mismatch,"When he arrived,",Teresa,14.91588020324707
3,1,he,m,Match,"When he was fed up,",Guy,15.036155700683594
3,1,she,m,Mismatch,"When she was fed up,",Joseph,12.191930770874023
3,1,she,f,Match,"When she was fed up,",Cynthia,14.702162742614746
3,1,he,f,Mismatch,"When he was fed up, the",wife,9.995408058166504
4,1,he,m,Match,"When he was talking,",Joseph,11.537314414978027
4,1,she,m,Mismatch,"When she was talking,",Bradley,14.502836227416992
4,1,she,f,Match,"When she was talking,",Dana,13.533370971679688
4,1,he,f,Mismatch,"When he was talking,",Janet,14.390806198120117
5,1,he,m,Match,"When he was nearby,",Larry,12.380624771118164
5,1,she,m,Mismatch,"When she was nearby,",Joseph,11.467041969299316
5,1,she,f,Match,"When she was nearby, the",girl,5.7516279220581055
5,1,he,f,Mismatch,"When he was nearby,",Helen,13.062237739562988
6,1,he,m,Match,"When he was lost,",Donald,12.552212715148926
6,1,she,m,Mismatch,"When she was lost,",Brad,13.466217994689941
6,1,she,f,Match,"When she was lost,",Judy,11.884693145751953
6,1,he,f,Mismatch,"When he was lost, the",dancer,14.770782470703125
7,1,he,m,Match,"When he was bad-tempered,",Guy,15.879599571228027
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,13.693870544433594
7,1,she,f,Match,"When she was bad-tempered, the",woman,6.09092903137207
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,15.003803253173828
8,1,he,m,Match,"When he was jealous, the",father,7.5645246505737305
8,1,she,m,Mismatch,"When she was jealous,",Steve,12.903562545776367
8,1,she,f,Match,"When she was jealous,",Catherine,14.249396324157715
8,1,he,f,Mismatch,"When he was jealous, the",dancer,13.25674819946289
9,1,he,m,Match,"When he was in residence,",Dan,12.965770721435547
9,1,she,m,Mismatch,"When she was in residence,",Russell,13.35191535949707
9,1,she,f,Match,"When she was in residence, the",woman,5.660877704620361
9,1,he,f,Mismatch,"When he was in residence, the",wife,9.248153686523438
10,1,he,m,Match,"When he was introduced,",Wayne,14.01098346710205
10,1,she,m,Mismatch,"When she was introduced,",Steve,11.669147491455078
10,1,she,f,Match,"When she was introduced,",Sally,13.117985725402832
10,1,he,f,Mismatch,"When he was introduced,",Teresa,15.722158432006836
11,1,he,m,Match,"When he arrived,",Joseph,10.732888221740723
11,1,she,m,Mismatch,"When she arrived,",Richard,12.353410720825195
11,1,she,f,Match,"When she arrived,",Cheryl,13.401497840881348
11,1,he,f,Mismatch,"When he arrived,",Janet,15.167400360107422
12,1,he,m,Match,"When he felt sad,",Guy,15.955032348632812
12,1,she,m,Mismatch,"When she felt sad,",Rodney,16.41632652282715
12,1,she,f,Match,"When she felt sad,",Amanda,13.072432518005371
12,1,he,f,Mismatch,"When he felt sad,",Sally,15.455771446228027
13,1,he,m,Match,"When he was present,",Wayne,14.509997367858887
13,1,she,m,Mismatch,"When she was present,",Larry,13.139886856079102
13,1,she,f,Match,"When she was present,",Carrie,14.375300407409668
13,1,he,f,Mismatch,"When he was present,",Lori,16.453670501708984
14,1,he,m,Match,"When he was depressed,",Richard,11.480093002319336
14,1,she,m,Mismatch,"When she was depressed,",Steve,12.16723346710205
14,1,she,f,Match,"When she was depressed,",Cynthia,14.968376159667969
14,1,he,f,Mismatch,"When he was depressed,",Amelia,16.33671760559082
15,1,he,m,Match,"When he was around,",Brad,12.987960815429688
15,1,she,m,Mismatch,"When she was around,",Wayne,15.22024154663086
15,1,she,f,Match,"When she was around,",Marie,13.636756896972656
15,1,he,f,Mismatch,"When he was around,",Dana,14.330018997192383
16,1,he,m,Match,"When he was near,",Joseph,10.812453269958496
16,1,she,m,Mismatch,"When she was near,",Richard,12.397801399230957
16,1,she,f,Match,"When she was near,",Dana,13.555285453796387
16,1,he,f,Mismatch,"When he was near,",Janet,14.598613739013672
17,1,he,m,Match,"When he was in court,",Bradley,13.030385971069336
17,1,she,m,Mismatch,"When she was in court,",Steve,12.460150718688965
17,1,she,f,Match,"When she was in court, the",dancer,13.788041114807129
17,1,he,f,Mismatch,"When he was in court,",Helen,14.087807655334473
18,1,he,m,Match,"When he was poorly,",Keith,14.061763763427734
18,1,she,m,Mismatch,"When she was poorly,",Steve,13.569748878479004
18,1,she,f,Match,"When she was poorly,",Dana,15.037924766540527
18,1,he,f,Mismatch,"When he was poorly,",Tracy,17.372922897338867
19,1,he,m,Match,"When he arrived,",Charles,11.532901763916016
19,1,she,m,Mismatch,"When she arrived,",Timothy,15.116998672485352
19,1,she,f,Match,"When she arrived,",Janet,13.712717056274414
19,1,he,f,Mismatch,"When he arrived,",Lori,16.280603408813477
20,1,he,m,Match,"When he was appointed,",Benjamin,11.828495979309082
20,1,she,m,Mismatch,"When she was appointed,",Larry,14.03628158569336
20,1,she,f,Match,"When she was appointed,",Teresa,13.50326156616211
20,1,he,f,Mismatch,"When he was appointed,",Tracy,18.31880760192871
21,1,he,m,Match,"When he was fired,",Timothy,15.14123821258545
21,1,she,m,Mismatch,"When she was fired,",Liam,16.79020118713379
21,1,she,f,Match,"When she was fired,",Teresa,13.300477981567383
21,1,he,f,Mismatch,"When he was fired,",Heidi,17.160133361816406
22,1,he,m,Match,"When he was close, the",father,9.21920108795166
22,1,she,m,Mismatch,"When she was close, the",father,8.773022651672363
22,1,she,f,Match,"When she was close,",Carrie,14.45478343963623
22,1,he,f,Mismatch,"When he was close,",Elizabeth,12.321333885192871
23,1,he,m,Match,"When he was retired,",Steve,10.841276168823242
23,1,she,m,Mismatch,"When she was retired,",Donald,10.989057540893555
23,1,she,f,Match,"When she was retired,",Christina,13.523119926452637
23,1,he,f,Mismatch,"When he was retired, the",dancer,16.153776168823242
24,1,he,m,Match,"When he was abroad, the",guy,11.91799259185791
24,1,she,m,Mismatch,"When she was abroad,",Larry,14.603742599487305
24,1,she,f,Match,"When she was abroad,",Lori,16.430864334106445
24,1,he,f,Mismatch,"When he was abroad,",Catherine,13.523341178894043
