exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-125M_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,5.923913478851318
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,5.430654048919678
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,6.462864398956299
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,5.972795009613037
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,3.9003872871398926
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,4.462376117706299
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,3.785114288330078
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,5.074845790863037
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,5.8621931076049805
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,7.911098003387451
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,4.230494976043701
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,7.512768745422363
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,6.988029479980469
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,4.025485515594482
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,5.594768047332764
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,5.2598114013671875
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,8.300484657287598
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,5.828823089599609
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,7.158817768096924
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,8.140142440795898
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,7.958962917327881
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,9.700461387634277
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,5.228990077972412
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,8.347315788269043
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,8.541646003723145
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,5.238977432250977
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,7.988317012786865
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,6.74605655670166
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,6.250368118286133
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,3.5142343044281006
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,8.7666654586792
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,6.752046585083008
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,4.488154888153076
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,4.2226433753967285
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,4.359810829162598
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,4.341780185699463
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,3.167773962020874
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,5.344996929168701
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,4.2016448974609375
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,5.990818023681641
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,7.485607147216797
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,9.654075622558594
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,5.751621723175049
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,8.675904273986816
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,14.229446411132812
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,13.66490650177002
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,9.87484359741211
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,12.877887725830078
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,6.56508207321167
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,2.070647954940796
