item,exp,pronoun,cond,contrast,sent,target,gpt3_surp
1,1,he,m,Match,"When he was off work,",Richard,9.435239791870117
1,1,she,m,Mismatch,"When she was off work,",Keith,15.300705909729004
1,1,she,f,Match,"When she was off work, the",dancer,11.214481353759766
1,1,he,f,Mismatch,"When he was off work,",Laura,16.189062118530273
2,1,he,m,Match,"When he arrived,",Larry,13.38758659362793
2,1,she,m,Mismatch,"When she arrived,",Wayne,14.980809211730957
2,1,she,f,Match,"When she arrived,",Cheryl,14.229012489318848
2,1,he,f,Mismatch,"When he arrived,",Teresa,15.785571098327637
3,1,he,m,Match,"When he was fed up,",Guy,15.251947402954102
3,1,she,m,Mismatch,"When she was fed up,",Joseph,14.26561450958252
3,1,she,f,Match,"When she was fed up,",Cynthia,15.969842910766602
3,1,he,f,Mismatch,"When he was fed up, the",wife,10.065674781799316
4,1,he,m,Match,"When he was talking,",Joseph,13.00523853302002
4,1,she,m,Mismatch,"When she was talking,",Bradley,16.85729217529297
4,1,she,f,Match,"When she was talking,",Dana,15.48879337310791
4,1,he,f,Mismatch,"When he was talking,",Janet,15.143558502197266
5,1,he,m,Match,"When he was nearby,",Larry,14.626080513000488
5,1,she,m,Mismatch,"When she was nearby,",Joseph,12.574211120605469
5,1,she,f,Match,"When she was nearby, the",girl,6.8112359046936035
5,1,he,f,Mismatch,"When he was nearby,",Helen,14.040757179260254
6,1,he,m,Match,"When he was lost,",Donald,16.069263458251953
6,1,she,m,Mismatch,"When she was lost,",Brad,17.052995681762695
6,1,she,f,Match,"When she was lost,",Judy,17.55803871154785
6,1,he,f,Mismatch,"When he was lost, the",dancer,16.963653564453125
7,1,he,m,Match,"When he was bad-tempered,",Guy,16.206636428833008
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,17.676082611083984
7,1,she,f,Match,"When she was bad-tempered, the",woman,7.393216133117676
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,11.912677764892578
8,1,he,m,Match,"When he was jealous, the",father,9.935569763183594
8,1,she,m,Mismatch,"When she was jealous,",Steve,16.44036102294922
8,1,she,f,Match,"When she was jealous,",Catherine,14.644763946533203
8,1,he,f,Mismatch,"When he was jealous, the",dancer,16.149248123168945
9,1,he,m,Match,"When he was in residence,",Dan,11.930953979492188
9,1,she,m,Mismatch,"When she was in residence,",Russell,14.027495384216309
9,1,she,f,Match,"When she was in residence, the",woman,9.14295768737793
9,1,he,f,Mismatch,"When he was in residence, the",wife,12.129504203796387
10,1,he,m,Match,"When he was introduced,",Wayne,12.435914039611816
10,1,she,m,Mismatch,"When she was introduced,",Steve,13.452533721923828
10,1,she,f,Match,"When she was introduced,",Sally,11.885506629943848
10,1,he,f,Mismatch,"When he was introduced,",Teresa,16.733423233032227
11,1,he,m,Match,"When he arrived,",Joseph,11.110207557678223
11,1,she,m,Mismatch,"When she arrived,",Richard,12.191158294677734
11,1,she,f,Match,"When she arrived,",Cheryl,14.236662864685059
11,1,he,f,Mismatch,"When he arrived,",Janet,15.053305625915527
12,1,he,m,Match,"When he felt sad,",Guy,15.330365180969238
12,1,she,m,Mismatch,"When she felt sad,",Rodney,21.61957359313965
12,1,she,f,Match,"When she felt sad,",Amanda,11.866495132446289
12,1,he,f,Mismatch,"When he felt sad,",Sally,19.774124145507812
13,1,he,m,Match,"When he was present,",Wayne,14.739713668823242
13,1,she,m,Mismatch,"When she was present,",Larry,15.40831184387207
13,1,she,f,Match,"When she was present,",Carrie,15.423742294311523
13,1,he,f,Mismatch,"When he was present,",Lori,19.07098960876465
14,1,he,m,Match,"When he was depressed,",Richard,11.577390670776367
14,1,she,m,Mismatch,"When she was depressed,",Steve,14.298168182373047
14,1,she,f,Match,"When she was depressed,",Cynthia,16.404903411865234
14,1,he,f,Mismatch,"When he was depressed,",Amelia,19.324129104614258
15,1,he,m,Match,"When he was around,",Brad,14.725747108459473
15,1,she,m,Mismatch,"When she was around,",Wayne,15.483358383178711
15,1,she,f,Match,"When she was around,",Marie,14.500371932983398
15,1,he,f,Mismatch,"When he was around,",Dana,16.594148635864258
16,1,he,m,Match,"When he was near,",Joseph,11.710594177246094
16,1,she,m,Mismatch,"When she was near,",Richard,12.192137718200684
16,1,she,f,Match,"When she was near,",Dana,16.664016723632812
16,1,he,f,Mismatch,"When he was near,",Janet,15.562262535095215
17,1,he,m,Match,"When he was in court,",Bradley,13.629000663757324
17,1,she,m,Mismatch,"When she was in court,",Steve,15.064411163330078
17,1,she,f,Match,"When she was in court, the",dancer,13.328343391418457
17,1,he,f,Mismatch,"When he was in court,",Helen,16.429567337036133
18,1,he,m,Match,"When he was poorly,",Keith,13.964794158935547
18,1,she,m,Mismatch,"When she was poorly,",Steve,14.129841804504395
18,1,she,f,Match,"When she was poorly,",Dana,16.507665634155273
18,1,he,f,Mismatch,"When he was poorly,",Tracy,17.68885040283203
19,1,he,m,Match,"When he arrived,",Charles,11.738466262817383
19,1,she,m,Mismatch,"When she arrived,",Timothy,15.756754875183105
19,1,she,f,Match,"When she arrived,",Janet,13.014226913452148
19,1,he,f,Mismatch,"When he arrived,",Lori,17.39398765563965
20,1,he,m,Match,"When he was appointed,",Benjamin,14.588690757751465
20,1,she,m,Mismatch,"When she was appointed,",Larry,17.194278717041016
20,1,she,f,Match,"When she was appointed,",Teresa,12.636772155761719
20,1,he,f,Mismatch,"When he was appointed,",Tracy,16.268136978149414
21,1,he,m,Match,"When he was fired,",Timothy,15.58935260772705
21,1,she,m,Mismatch,"When she was fired,",Liam,19.7833194732666
21,1,she,f,Match,"When she was fired,",Teresa,12.318794250488281
21,1,he,f,Mismatch,"When he was fired,",Heidi,19.96809959411621
22,1,he,m,Match,"When he was close, the",father,10.556802749633789
22,1,she,m,Mismatch,"When she was close, the",father,11.423175811767578
22,1,she,f,Match,"When she was close,",Carrie,14.189064025878906
22,1,he,f,Mismatch,"When he was close,",Elizabeth,12.082609176635742
23,1,he,m,Match,"When he was retired,",Steve,10.473381996154785
23,1,she,m,Mismatch,"When she was retired,",Donald,14.986255645751953
23,1,she,f,Match,"When she was retired,",Christina,16.05272102355957
23,1,he,f,Mismatch,"When he was retired, the",dancer,15.85600471496582
24,1,he,m,Match,"When he was abroad, the",guy,10.273576736450195
24,1,she,m,Mismatch,"When she was abroad,",Larry,17.216527938842773
24,1,she,f,Match,"When she was abroad,",Lori,15.325566291809082
24,1,he,f,Mismatch,"When he was abroad,",Catherine,15.8040771484375
25,1,he,m,Match,"When he was discovered,",Thomas,10.308175086975098
