exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-large_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,4.366906642913818
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,5.713950157165527
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,7.126266002655029
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,8.532454490661621
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,4.475444793701172
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,7.838363170623779
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,5.611957550048828
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,8.253544807434082
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,2.9322993755340576
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,3.461374282836914
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,5.549251079559326
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,7.387974739074707
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,3.4246063232421875
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,4.462660312652588
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,3.275564670562744
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,4.1582441329956055
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,4.238229751586914
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,5.204835414886475
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,3.3744678497314453
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,4.548684597015381
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,4.183248043060303
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,5.106338977813721
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,7.141674518585205
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,8.213833808898926
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,4.585875034332275
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,3.634826421737671
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,5.007578372955322
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,7.489190101623535
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,4.672848224639893
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,5.29191255569458
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,8.244659423828125
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,8.893640518188477
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,3.8672916889190674
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,3.711003303527832
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,5.421327114105225
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,6.017689228057861
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,7.963623523712158
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,7.540308952331543
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,8.451757431030273
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,8.474981307983398
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,4.894434928894043
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,6.5583086013793945
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,8.965265274047852
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,11.122283935546875
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,5.998623371124268
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,7.229711055755615
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,8.700353622436523
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his,10.26097297668457
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him,3.5917558670043945
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him,5.057875633239746
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his,4.748713970184326
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his,6.50122594833374
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him,4.261441230773926
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him,4.446483612060547
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his,5.503634452819824
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his,6.830935001373291
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him,5.289498805999756
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him,6.474483013153076
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his,4.5849080085754395
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his,6.2918853759765625
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him,3.4942381381988525
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him,4.471466541290283
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his,6.916368007659912
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his,8.220621109008789
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him,8.677066802978516
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him,8.423284530639648
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his,8.94710922241211
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his,9.574407577514648
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him,4.043842792510986
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him,4.044633388519287
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his,5.3413777351379395
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his,6.4940290451049805
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him,2.818554162979126
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him,4.086859226226807
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his,5.545344829559326
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his,7.425001621246338
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him,4.0831499099731445
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him,4.010004043579102
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his,7.494605541229248
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his,8.113659858703613
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him,3.987987995147705
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him,5.251619338989258
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his,8.017794609069824
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his,9.643743515014648
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him,7.863545894622803
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him,8.502181053161621
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his,10.271430015563965
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his,11.048192977905273
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him,8.807772636413574
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him,9.594745635986328
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his,10.47545051574707
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his,11.38010311126709
