exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-medium_surp
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him,3.662832021713257
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him,6.019468307495117
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his,6.866056442260742
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his,8.831089973449707
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him,4.217501163482666
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him,6.359537124633789
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his,6.356129169464111
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his,8.528268814086914
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him,2.5934243202209473
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him,3.4213449954986572
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his,6.030919551849365
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his,6.985068321228027
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him,4.506237983703613
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him,4.556578636169434
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his,3.5597994327545166
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his,5.059097766876221
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him,4.749729633331299
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him,5.216146469116211
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his,4.45426082611084
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his,5.301570892333984
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him,3.861818790435791
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him,5.385895252227783
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his,7.051274299621582
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his,8.733541488647461
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him,5.381774425506592
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him,7.156524181365967
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his,7.711811542510986
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his,10.157618522644043
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him,5.012493133544922
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him,5.869390964508057
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his,7.884581089019775
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his,9.063766479492188
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,2.9357409477233887
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,3.971883773803711
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,5.624273300170898
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,7.0045905113220215
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,9.085693359375
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,8.796967506408691
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,9.184183120727539
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,8.996676445007324
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,5.250941753387451
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,6.2815937995910645
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,8.46068286895752
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,10.661245346069336
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,9.003172874450684
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,9.56961727142334
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,10.682186126708984
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his,11.822507858276367
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him,4.0353569984436035
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him,5.642557621002197
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his,5.072360038757324
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his,6.615379333496094
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him,5.791815757751465
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him,6.32086181640625
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his,7.232715606689453
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his,7.981910705566406
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him,4.71304178237915
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him,4.765164852142334
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his,3.691624164581299
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his,4.707840919494629
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him,6.605132579803467
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him,7.4515485763549805
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his,7.706349849700928
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his,9.093391418457031
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him,8.629932403564453
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him,9.522717475891113
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his,8.832646369934082
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his,9.681943893432617
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him,4.20406436920166
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him,4.637754917144775
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his,6.857396125793457
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his,7.682645797729492
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him,2.8542795181274414
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him,4.942272186279297
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his,4.050783157348633
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his,6.300665378570557
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him,3.4608240127563477
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him,3.835191488265991
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his,6.829471111297607
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his,7.761205673217773
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him,3.286129951477051
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him,4.5710601806640625
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his,7.0706281661987305
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his,9.033374786376953
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him,10.523341178894043
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him,10.741985321044922
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his,10.602590560913086
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his,11.291074752807617
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him,6.287280559539795
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him,6.694049835205078
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his,8.162138938903809
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his,9.230565071105957
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him,4.228404521942139
About,can't upset,23,23_F_him,f,Mismatch,obj,The show about Ann can't upset,him,5.48057746887207
About,can't upset,23,23_M_his,m,Match,poss,The show about the nephew can't upset,his,5.184110641479492
About,can't upset,23,23_F_his,f,Mismatch,poss,The show about Ann can't upset,his,7.78941535949707
About,hindered,24,24_M_him,m,Match,obj,The book about Martin hindered,him,4.303863048553467
About,hindered,24,24_F_him,f,Mismatch,obj,The book about Caroline hindered,him,5.216389179229736
About,hindered,24,24_M_his,m,Match,poss,The book about Martin hindered,his,3.158541202545166
About,hindered,24,24_F_his,f,Mismatch,poss,The book about Caroline hindered,his,4.013732433319092
About,bored,25,25_M_him,m,Match,obj,The pamphlet about Liam bored,him,3.8630356788635254
About,bored,25,25_F_him,f,Mismatch,obj,The pamphlet about Carrie bored,him,5.188658714294434
