item,cond,adjunct,contrast,pronoun,og_sent,sent,target
1,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone offered him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry,",Richard
1,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone offered her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry,",Richard
1,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry,",Brian
1,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry,",Bruce
1,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before offering himself a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering himself a fancy pastry,",Bruce
1,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before offering herself a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering herself a fancy pastry,",Bruce
2,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While a parent drove him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday,",Guy
2,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While a parent drove her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday,",Thomas
2,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday,",Joseph
2,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday,",Larry
2,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While driving himself to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving himself to school on Friday,",Larry
2,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While driving herself to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving herself to school on Friday,",Larry
3,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an employee baked him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the",father
3,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an employee baked her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies,",Richard
3,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies,",Steve
3,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies,",Bradley
3,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While baking himself some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking himself some cookies,",Bradley
3,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While baking herself some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking herself some cookies,",Bradley
4,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After an orderly lifted him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus,",Keith
