exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,gpt3_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,7.991148471832275
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,5.0171427726745605
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,6.500990867614746
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,4.499641418457031
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,9.454962730407715
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,3.315439462661743
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,8.780205726623535
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,8.064292907714844
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,9.564864158630371
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,4.399991512298584
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,8.794719696044922
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,8.963105201721191
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,6.183971405029297
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,3.0201356410980225
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,6.263994216918945
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,9.412407875061035
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,12.399377822875977
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,2.1556289196014404
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,12.007256507873535
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,4.116495609283447
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,6.411006927490234
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,6.03230094909668
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,10.82364559173584
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,13.097357749938965
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,11.442648887634277
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,5.549956798553467
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,7.953226089477539
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,6.768009662628174
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,8.581062316894531
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,2.790640115737915
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,8.641971588134766
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,6.962204933166504
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,6.815648555755615
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,3.9510445594787598
