item,exp,pronoun,cond,contrast,sent,target,/data/EleutherAI/gpt-neo-2.7B_surp
1,1,he,m,Match,"When he was off work,",Richard,12.711874961853027
1,1,she,m,Mismatch,"When she was off work,",Keith,15.327035903930664
1,1,she,f,Match,"When she was off work, the",dancer,13.796379089355469
1,1,he,f,Mismatch,"When he was off work,",Laura,13.419382095336914
2,1,he,m,Match,"When he arrived,",Larry,14.583518028259277
2,1,she,m,Mismatch,"When she arrived,",Wayne,17.06858253479004
2,1,she,f,Match,"When she arrived,",Cheryl,16.465227127075195
2,1,he,f,Mismatch,"When he arrived,",Teresa,15.387298583984375
3,1,he,m,Match,"When he was fed up,",Guy,16.539613723754883
3,1,she,m,Mismatch,"When she was fed up,",Joseph,14.832590103149414
3,1,she,f,Match,"When she was fed up,",Cynthia,17.076248168945312
3,1,he,f,Mismatch,"When he was fed up, the",wife,10.058075904846191
4,1,he,m,Match,"When he was talking,",Joseph,13.746062278747559
4,1,she,m,Mismatch,"When she was talking,",Bradley,16.298561096191406
4,1,she,f,Match,"When she was talking,",Dana,15.960527420043945
4,1,he,f,Mismatch,"When he was talking,",Janet,15.298871040344238
5,1,he,m,Match,"When he was nearby,",Larry,14.497908592224121
5,1,she,m,Mismatch,"When she was nearby,",Joseph,14.586068153381348
5,1,she,f,Match,"When she was nearby, the",girl,6.5159735679626465
5,1,he,f,Mismatch,"When he was nearby,",Helen,14.896622657775879
6,1,he,m,Match,"When he was lost,",Donald,15.956642150878906
6,1,she,m,Mismatch,"When she was lost,",Brad,16.49736976623535
6,1,she,f,Match,"When she was lost,",Judy,17.109546661376953
6,1,he,f,Mismatch,"When he was lost, the",dancer,15.782726287841797
7,1,he,m,Match,"When he was bad-tempered,",Guy,18.034202575683594
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,16.176998138427734
7,1,she,f,Match,"When she was bad-tempered, the",woman,7.968629360198975
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,15.011009216308594
8,1,he,m,Match,"When he was jealous, the",father,8.063979148864746
8,1,she,m,Mismatch,"When she was jealous,",Steve,15.159095764160156
8,1,she,f,Match,"When she was jealous,",Catherine,14.625349044799805
8,1,he,f,Mismatch,"When he was jealous, the",dancer,14.020723342895508
9,1,he,m,Match,"When he was in residence,",Dan,14.433792114257812
9,1,she,m,Mismatch,"When she was in residence,",Russell,15.607246398925781
9,1,she,f,Match,"When she was in residence, the",woman,7.578768253326416
9,1,he,f,Mismatch,"When he was in residence, the",wife,9.687759399414062
10,1,he,m,Match,"When he was introduced,",Wayne,16.601163864135742
10,1,she,m,Mismatch,"When she was introduced,",Steve,14.847647666931152
