exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-j-6B_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,7.332141876220703
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,5.100472450256348
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,6.453888416290283
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,5.687457084655762
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,4.460292339324951
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,4.0432634353637695
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,5.46006441116333
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,6.790049076080322
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,5.022211074829102
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,6.104232311248779
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,4.58317232131958
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,9.542436599731445
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,8.015904426574707
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,4.161203861236572
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,6.586905002593994
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,5.425986289978027
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,10.687716484069824
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,3.586951971054077
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,8.798860549926758
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,5.518983840942383
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,6.29533052444458
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,6.205162048339844
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,6.367490291595459
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,9.703722953796387
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,7.586002826690674
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,6.357457637786865
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,6.551084518432617
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,7.30624532699585
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,7.2120137214660645
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,4.281539440155029
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,9.534713745117188
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,7.483381748199463
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,6.581813335418701
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,5.443436622619629
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,6.381619930267334
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,5.5475616455078125
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,3.5590412616729736
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,3.9422571659088135
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,1.6699614524841309
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,6.324906826019287
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,5.705716133117676
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,6.7426533699035645
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,6.663039207458496
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,6.685581207275391
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,7.344228744506836
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,6.070599555969238
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,7.241623401641846
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,10.814547538757324
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,9.480157852172852
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,2.0187196731567383
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,9.172910690307617
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,4.303814888000488
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,8.070160865783691
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,6.604923248291016
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,4.5989789962768555
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,7.698519229888916
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,5.808372974395752
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,1.4577457904815674
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,5.90935754776001
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,3.9031097888946533
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,9.146330833435059
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,7.692364692687988
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,7.137138366699219
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,7.294932842254639
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,7.6131134033203125
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,3.7020576000213623
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,5.719066143035889
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,6.124823570251465
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,9.506672859191895
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,2.653872013092041
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,7.323760032653809
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,7.143423080444336
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,3.4698686599731445
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,4.17994499206543
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,3.4560911655426025
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,4.1210832595825195
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,8.328749656677246
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,4.891077518463135
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,7.303783416748047
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,5.252451419830322
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,6.844672203063965
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,6.517811298370361
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,5.5030293464660645
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,8.24189567565918
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,2.749936580657959
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,4.31661319732666
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,3.499835968017578
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,6.227431297302246
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,7.112662315368652
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,4.182188034057617
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,9.33682632446289
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,6.744483947753906
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,7.536113262176514
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,4.098441123962402
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,5.441777229309082
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,6.050414085388184
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,7.298018932342529
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,6.046931743621826
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,8.173721313476562
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,6.460521221160889
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,8.396111488342285
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,4.721747398376465
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,7.627823829650879
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,5.711744785308838
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,7.844157695770264
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,8.137205123901367
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,6.114770889282227
