exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2_surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,8.707892417907715
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,4.751927852630615
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,9.338146209716797
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,5.129628658294678
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,5.796538352966309
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,3.994600296020508
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,5.276648998260498
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,5.130675792694092
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,6.182135105133057
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,7.645622253417969
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,5.943841934204102
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,7.217581272125244
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,6.346173286437988
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,4.142451286315918
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,5.100613117218018
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,5.084564685821533
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,9.172786712646484
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,2.966541051864624
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,9.86447525024414
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,6.9371161460876465
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,7.390109062194824
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,7.3177056312561035
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,6.679279804229736
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,8.374879837036133
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,8.59515380859375
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,5.973510265350342
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,6.962319850921631
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,6.239761829376221
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,6.271252155303955
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,3.8311235904693604
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,8.201156616210938
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,6.347177982330322
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,5.955310821533203
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,4.917845249176025
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,5.690547466278076
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,4.498952388763428
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,2.3363099098205566
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,3.839080333709717
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,2.5687801837921143
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,4.511287212371826
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,7.925524711608887
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,8.527249336242676
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,7.226250171661377
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,8.406298637390137
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,8.681118965148926
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,8.460386276245117
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,5.42757511138916
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,8.70382022857666
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,7.513980388641357
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,1.957735300064087
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,8.019176483154297
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,1.7561790943145752
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,8.00664234161377
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,5.5152764320373535
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,5.939639568328857
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,8.299318313598633
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,7.351077556610107
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,1.6716657876968384
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,6.2757649421691895
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,1.6784297227859497
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,8.038442611694336
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,6.0332746505737305
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,6.864540100097656
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,5.888185977935791
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,6.397767066955566
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,4.787910461425781
