exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,model,surp
simple,understood,0,0_M_him,m,Match,obj,Gerald understood,him,gpt-neo-125M,5.923913478851318
simple,understood,0,0_M_his,m,Match,poss,Gerald understood,his,gpt-neo-125M,5.430654048919678
simple,understood,0,0_F_him,f,Mismatch,obj,Ann understood,him,gpt-neo-125M,6.462864398956299
simple,understood,0,0_F_his,f,Mismatch,poss,Ann understood,his,gpt-neo-125M,5.972795009613037
simple,visited,1,1_M_him,m,Match,obj,This boy visited,him,gpt-neo-125M,3.9003872871398926
simple,visited,1,1_M_his,m,Match,poss,This boy visited,his,gpt-neo-125M,4.462376117706299
simple,visited,1,1_F_him,f,Mismatch,obj,Judy visited,him,gpt-neo-125M,3.785114288330078
simple,visited,1,1_F_his,f,Mismatch,poss,Judy visited,his,gpt-neo-125M,5.074845790863037
simple,can't astound,2,2_M_him,m,Match,obj,Vincent can't astound,him,gpt-neo-125M,5.8621931076049805
simple,can't astound,2,2_M_his,m,Match,poss,Vincent can't astound,his,gpt-neo-125M,7.911098003387451
simple,can't astound,2,2_F_him,f,Mismatch,obj,Sara can't astound,him,gpt-neo-125M,4.230494976043701
simple,can't astound,2,2_F_his,f,Mismatch,poss,Sara can't astound,his,gpt-neo-125M,7.512768745422363
simple,fired,3,3_M_him,m,Match,obj,Marcus fired,him,gpt-neo-125M,6.988029479980469
simple,fired,3,3_M_his,m,Match,poss,Marcus fired,his,gpt-neo-125M,4.025485515594482
simple,fired,3,3_F_him,f,Mismatch,obj,Naomi fired,him,gpt-neo-125M,5.594768047332764
simple,fired,3,3_F_his,f,Mismatch,poss,Naomi fired,his,gpt-neo-125M,5.259811401367188
simple,returns to,4,4_M_him,m,Match,obj,Eric returns to,him,gpt-neo-125M,8.300484657287598
simple,returns to,4,4_M_his,m,Match,poss,Eric returns to,his,gpt-neo-125M,5.828823089599609
simple,returns to,4,4_F_him,f,Mismatch,obj,Tracy returns to,him,gpt-neo-125M,7.158817768096924
simple,returns to,4,4_F_his,f,Mismatch,poss,Tracy returns to,his,gpt-neo-125M,8.140142440795898
simple,wasn't alarming,5,5_M_him,m,Match,obj,Scott wasn't alarming,him,gpt-neo-125M,7.958962917327881
simple,wasn't alarming,5,5_M_his,m,Match,poss,Scott wasn't alarming,his,gpt-neo-125M,9.700461387634276
simple,wasn't alarming,5,5_F_him,f,Mismatch,obj,Alice wasn't alarming,him,gpt-neo-125M,5.228990077972412
