item,exp,pronoun,cond,contrast,sent,target,/data/gpt2-large_surp
1,1,he,m,Match,"When he was off work,",Richard,13.254694938659668
1,1,she,m,Mismatch,"When she was off work,",Keith,16.150745391845703
1,1,she,f,Match,"When she was off work, the",dancer,15.324581146240234
1,1,he,f,Mismatch,"When he was off work,",Laura,16.04195785522461
2,1,he,m,Match,"When he arrived,",Larry,13.66853141784668
2,1,she,m,Mismatch,"When she arrived,",Wayne,15.095619201660156
2,1,she,f,Match,"When she arrived,",Cheryl,14.162419319152832
2,1,he,f,Mismatch,"When he arrived,",Teresa,16.13138771057129
3,1,he,m,Match,"When he was fed up,",Guy,17.100923538208008
3,1,she,m,Mismatch,"When she was fed up,",Joseph,13.884140968322754
3,1,she,f,Match,"When she was fed up,",Cynthia,15.365801811218262
3,1,he,f,Mismatch,"When he was fed up, the",wife,10.853835105895996
4,1,he,m,Match,"When he was talking,",Joseph,13.792943954467773
4,1,she,m,Mismatch,"When she was talking,",Bradley,17.5894718170166
4,1,she,f,Match,"When she was talking,",Dana,16.641122817993164
4,1,he,f,Mismatch,"When he was talking,",Janet,16.865705490112305
5,1,he,m,Match,"When he was nearby,",Larry,15.182707786560059
5,1,she,m,Mismatch,"When she was nearby,",Joseph,13.55842113494873
5,1,she,f,Match,"When she was nearby, the",girl,5.856687545776367
5,1,he,f,Mismatch,"When he was nearby,",Helen,14.780874252319336
6,1,he,m,Match,"When he was lost,",Donald,13.554691314697266
6,1,she,m,Mismatch,"When she was lost,",Brad,15.850014686584473
6,1,she,f,Match,"When she was lost,",Judy,15.32725715637207
6,1,he,f,Mismatch,"When he was lost, the",dancer,16.06755828857422
7,1,he,m,Match,"When he was bad-tempered,",Guy,19.782970428466797
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,18.07291030883789
7,1,she,f,Match,"When she was bad-tempered, the",woman,7.477315902709961
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,15.529133796691895
8,1,he,m,Match,"When he was jealous, the",father,7.615996837615967
8,1,she,m,Mismatch,"When she was jealous,",Steve,14.35071086883545
8,1,she,f,Match,"When she was jealous,",Catherine,16.124881744384766
8,1,he,f,Mismatch,"When he was jealous, the",dancer,15.266324996948242
9,1,he,m,Match,"When he was in residence,",Dan,13.551658630371094
9,1,she,m,Mismatch,"When she was in residence,",Russell,15.153111457824707
9,1,she,f,Match,"When she was in residence, the",woman,6.882049560546875
9,1,he,f,Mismatch,"When he was in residence, the",wife,10.259066581726074
10,1,he,m,Match,"When he was introduced,",Wayne,14.131067276000977
10,1,she,m,Mismatch,"When she was introduced,",Steve,12.078370094299316
10,1,she,f,Match,"When she was introduced,",Sally,13.252227783203125
10,1,he,f,Mismatch,"When he was introduced,",Teresa,16.400075912475586
11,1,he,m,Match,"When he arrived,",Joseph,12.240487098693848
11,1,she,m,Mismatch,"When she arrived,",Richard,13.020476341247559
11,1,she,f,Match,"When she arrived,",Cheryl,14.162416458129883
11,1,he,f,Mismatch,"When he arrived,",Janet,16.027149200439453
12,1,he,m,Match,"When he felt sad,",Guy,20.39739418029785
12,1,she,m,Mismatch,"When she felt sad,",Rodney,18.522972106933594
12,1,she,f,Match,"When she felt sad,",Amanda,16.190011978149414
12,1,he,f,Mismatch,"When he felt sad,",Sally,16.615610122680664
13,1,he,m,Match,"When he was present,",Wayne,15.795502662658691
13,1,she,m,Mismatch,"When she was present,",Larry,15.986664772033691
13,1,she,f,Match,"When she was present,",Carrie,14.141560554504395
13,1,he,f,Mismatch,"When he was present,",Lori,17.81104278564453
14,1,he,m,Match,"When he was depressed,",Richard,13.789774894714355
14,1,she,m,Mismatch,"When she was depressed,",Steve,14.7319974899292
14,1,she,f,Match,"When she was depressed,",Cynthia,19.11356544494629
14,1,he,f,Mismatch,"When he was depressed,",Amelia,18.894641876220703
15,1,he,m,Match,"When he was around,",Brad,14.83276081085205
15,1,she,m,Mismatch,"When she was around,",Wayne,17.66728401184082
15,1,she,f,Match,"When she was around,",Marie,14.221349716186523
15,1,he,f,Mismatch,"When he was around,",Dana,16.408910751342773
16,1,he,m,Match,"When he was near,",Joseph,13.447468757629395
16,1,she,m,Mismatch,"When she was near,",Richard,15.500401496887207
16,1,she,f,Match,"When she was near,",Dana,17.18985366821289
16,1,he,f,Mismatch,"When he was near,",Janet,16.40776824951172
17,1,he,m,Match,"When he was in court,",Bradley,15.365832328796387
17,1,she,m,Mismatch,"When she was in court,",Steve,14.603095054626465
17,1,she,f,Match,"When she was in court, the",dancer,16.1688175201416
17,1,he,f,Mismatch,"When he was in court,",Helen,16.199628829956055
18,1,he,m,Match,"When he was poorly,",Keith,16.985862731933594
18,1,she,m,Mismatch,"When she was poorly,",Steve,14.494898796081543
18,1,she,f,Match,"When she was poorly,",Dana,16.037784576416016
18,1,he,f,Mismatch,"When he was poorly,",Tracy,18.26620101928711
19,1,he,m,Match,"When he arrived,",Charles,12.671936988830566
19,1,she,m,Mismatch,"When she arrived,",Timothy,16.614633560180664
19,1,she,f,Match,"When she arrived,",Janet,14.576417922973633
19,1,he,f,Mismatch,"When he arrived,",Lori,16.283437728881836
20,1,he,m,Match,"When he was appointed,",Benjamin,13.208980560302734
20,1,she,m,Mismatch,"When she was appointed,",Larry,14.884919166564941
20,1,she,f,Match,"When she was appointed,",Teresa,14.265975952148438
