exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
OneEmbedding,asserted,understood,0,0_MM_him,mm,MatchMatch,obj,Stephen asserted that Gerald understood,him,5.087319850921631
OneEmbedding,asserted,understood,0,0_MF_him,mf,MatchMismatch,obj,Stephen asserted that Ann understood,him,4.409385681152344
OneEmbedding,asserted,understood,0,0_FM_him,fm,MismatchMatch,obj,Stacy asserted that Gerald understood,him,5.404865741729736
OneEmbedding,asserted,understood,0,0_FF_him,ff,MismatchMismatch,obj,Stacy asserted that Ann understood,him,4.322377681732178
OneEmbedding,asserted,understood,0,0_MM_his,mm,MatchMatch,poss,Stephen asserted that Gerald understood,his,3.6360998153686523
OneEmbedding,asserted,understood,0,0_MF_his,mf,MatchMismatch,poss,Stephen asserted that Ann understood,his,4.794888496398926
OneEmbedding,asserted,understood,0,0_FM_his,fm,MismatchMatch,poss,Stacy asserted that Gerald understood,his,3.842179775238037
OneEmbedding,asserted,understood,0,0_FF_his,ff,MismatchMismatch,poss,Stacy asserted that Ann understood,his,5.21244478225708
OneEmbedding,believed,visited,1,1_MM_him,mm,MatchMatch,obj,Russell believed that this boy visited,him,2.864795684814453
OneEmbedding,believed,visited,1,1_MF_him,mf,MatchMismatch,obj,Russell believed that Judy visited,him,2.185511350631714
OneEmbedding,believed,visited,1,1_FM_him,fm,MismatchMatch,obj,Ruth believed that this boy visited,him,3.9684438705444336
OneEmbedding,believed,visited,1,1_FF_him,ff,MismatchMismatch,obj,Ruth believed that Judy visited,him,2.9127907752990723
OneEmbedding,believed,visited,1,1_MM_his,mm,MatchMatch,poss,Russell believed that this boy visited,his,3.3250155448913574
OneEmbedding,believed,visited,1,1_MF_his,mf,MatchMismatch,poss,Russell believed that Judy visited,his,5.033245086669922
OneEmbedding,believed,visited,1,1_FM_his,fm,MismatchMatch,poss,Ruth believed that this boy visited,his,3.684706211090088
OneEmbedding,believed,visited,1,1_FF_his,ff,MismatchMismatch,poss,Ruth believed that Judy visited,his,5.751850605010986
OneEmbedding,was disliking,can't astound,2,2_MM_him,mm,MatchMatch,obj,The guy was disliking that Vincent can't astound,him,1.7753217220306396
OneEmbedding,was disliking,can't astound,2,2_MF_him,mf,MatchMismatch,obj,The guy was disliking that Sara can't astound,him,1.0286035537719727
OneEmbedding,was disliking,can't astound,2,2_FM_him,fm,MismatchMatch,obj,Christina was disliking that Vincent can't astound,him,5.120980739593506
OneEmbedding,was disliking,can't astound,2,2_FF_him,ff,MismatchMismatch,obj,Christina was disliking that Sara can't astound,him,3.3203489780426025
OneEmbedding,was disliking,can't astound,2,2_MM_his,mm,MatchMatch,poss,The guy was disliking that Vincent can't astound,his,5.602307319641113
OneEmbedding,was disliking,can't astound,2,2_MF_his,mf,MatchMismatch,poss,The guy was disliking that Sara can't astound,his,8.472040176391602
OneEmbedding,was disliking,can't astound,2,2_FM_his,fm,MismatchMatch,poss,Christina was disliking that Vincent can't astound,his,5.335509777069092
OneEmbedding,was disliking,can't astound,2,2_FF_his,ff,MismatchMismatch,poss,Christina was disliking that Sara can't astound,his,8.269810676574707
OneEmbedding,wasn't expecting,fired,3,3_MM_him,mm,MatchMatch,obj,Rodney wasn't expecting that Marcus fired,him,3.9537858963012695
OneEmbedding,wasn't expecting,fired,3,3_MF_him,mf,MatchMismatch,obj,Rodney wasn't expecting that Naomi fired,him,4.679085731506348
OneEmbedding,wasn't expecting,fired,3,3_FM_him,fm,MismatchMatch,obj,Margaret wasn't expecting that Marcus fired,him,6.070457935333252
OneEmbedding,wasn't expecting,fired,3,3_FF_him,ff,MismatchMismatch,obj,Margaret wasn't expecting that Naomi fired,him,6.028960227966309
OneEmbedding,wasn't expecting,fired,3,3_MM_his,mm,MatchMatch,poss,Rodney wasn't expecting that Marcus fired,his,4.054504871368408
OneEmbedding,wasn't expecting,fired,3,3_MF_his,mf,MatchMismatch,poss,Rodney wasn't expecting that Naomi fired,his,6.978147983551025
OneEmbedding,wasn't expecting,fired,3,3_FM_his,fm,MismatchMatch,poss,Margaret wasn't expecting that Marcus fired,his,3.8402023315429688
OneEmbedding,wasn't expecting,fired,3,3_FF_his,ff,MismatchMismatch,poss,Margaret wasn't expecting that Naomi fired,his,7.9568095207214355
OneEmbedding,had speculated,returns to,4,4_MM_him,mm,MatchMatch,obj,Aaron had speculated that Eric returns to,him,8.864901542663574
OneEmbedding,had speculated,returns to,4,4_MF_him,mf,MatchMismatch,obj,Aaron had speculated that Tracy returns to,him,8.253342628479004
OneEmbedding,had speculated,returns to,4,4_FM_him,fm,MismatchMatch,obj,Tamara had speculated that Eric returns to,him,9.283561706542969
OneEmbedding,had speculated,returns to,4,4_FF_him,ff,MismatchMismatch,obj,Tamara had speculated that Tracy returns to,him,8.667065620422363
OneEmbedding,had speculated,returns to,4,4_MM_his,mm,MatchMatch,poss,Aaron had speculated that Eric returns to,his,3.226405382156372
OneEmbedding,had speculated,returns to,4,4_MF_his,mf,MatchMismatch,poss,Aaron had speculated that Tracy returns to,his,4.501126289367676
OneEmbedding,had speculated,returns to,4,4_FM_his,fm,MismatchMatch,poss,Tamara had speculated that Eric returns to,his,3.1088905334472656
OneEmbedding,had speculated,returns to,4,4_FF_his,ff,MismatchMismatch,poss,Tamara had speculated that Tracy returns to,his,5.049238681793213
OneEmbedding,conceals,wasn't alarming,5,5_MM_him,mm,MatchMatch,obj,Donald conceals that Scott wasn't alarming,him,4.021865367889404
OneEmbedding,conceals,wasn't alarming,5,5_MF_him,mf,MatchMismatch,obj,Donald conceals that Alice wasn't alarming,him,2.627575159072876
OneEmbedding,conceals,wasn't alarming,5,5_FM_him,fm,MismatchMatch,obj,Angela conceals that Scott wasn't alarming,him,5.605718612670898
