item,cond,adjunct,contrast,pronoun,og_sent,sent,target,/data/gpt2-large_surp
1,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone offered him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry,",Richard,13.29954719543457
1,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone offered her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry,",Richard,15.632782936096191
1,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry,",Brian,16.852731704711914
1,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry,",Bruce,17.27022933959961
2,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While a parent drove him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday,",Guy,17.17314338684082
2,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While a parent drove her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday,",Thomas,14.466283798217773
2,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday,",Joseph,12.864421844482422
2,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday,",Larry,15.944643020629883
3,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an employee baked him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the",father,7.456794261932373
3,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an employee baked her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies,",Richard,14.47302532196045
3,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies,",Steve,10.424355506896973
3,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies,",Bradley,15.378633499145508
4,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After an orderly lifted him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus,",Keith,14.891404151916504
4,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After an orderly lifted her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus,",Steve,13.257781982421875
4,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus,",Brad,14.831332206726074
4,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus,",Steve,12.791117668151855
5,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before an officer interrogated him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime,",Richard,12.961578369140625
5,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before an officer interrogated her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime,",Larry,15.722957611083984
5,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime,",Phillip,16.244775772094727
5,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime,",Brian,13.741868019104004
6,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a guest embarrassed him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party,",Timothy,15.148152351379395
6,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a guest embarrassed her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the",father,9.693065643310547
6,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party,",Richard,13.30603313446045
6,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party,",Brian,14.319360733032227
7,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an intern helped him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the",father,10.747539520263672
7,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an intern helped her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents,",Russell,14.0774564743042
7,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents,",Brian,13.089116096496582
7,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents,",Brian,13.091856956481934
8,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While someone read him a bedtime story, William gently gestured to Luis to turn off the lights.","While someone read him a bedtime story,",Donald,11.433300971984863
8,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While someone read her a bedtime story, William gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story,",Richard,14.490011215209961
8,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the",guy,9.758394241333008
8,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story,",Brian,13.302577018737793
9,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a colleague cornered him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler,",Richard,13.629074096679688
9,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a colleague cornered her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler,",Brian,14.522357940673828
9,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After cornering him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler,",Benjamin,16.24418830871582
9,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After cornering her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler,",Thomas,13.476238250732422
10,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a nurse weighed him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After a nurse weighed him on the scale,",Thomas,11.755189895629883
10,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a nurse weighed her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After a nurse weighed her on the scale,",Richard,13.597474098205566
10,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After weighing him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale,",Liam,15.87187671661377
10,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After weighing her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale,",Steve,12.996552467346191
11,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone spotted him at yoga class, Zachary secretly followed Christian around town.","Before anyone spotted him at yoga class,",Brad,13.673685073852539
11,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone spotted her at yoga class, Zachary secretly followed Kaitlyn around town.","Before anyone spotted her at yoga class,",Donald,13.171285629272461
11,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before spotting him at yoga class, Zachary secretly followed Christian around town.","Before spotting him at yoga class,",Wayne,15.188089370727539
11,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before spotting her at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her at yoga class,",Wayne,15.958311080932617
12,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before friends visited him on Sunday afternoons, Benjamin usually called Jason up to confirm that they were still free.","Before friends visited him on Sunday afternoons,",Larry,14.767367362976074
12,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before friends visited her on Sunday afternoons, Benjamin usually called Mary up to confirm that they were still free.","Before friends visited her on Sunday afternoons,",Steve,14.883806228637695
12,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before visiting him on Sunday afternoons, Benjamin usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons,",Bruce,14.055286407470703
12,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before visiting her on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons,",Benjamin,15.466475486755371
13,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a professor had her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After a professor had her in multiple classes, the",woman,4.717443943023682
13,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a professor had him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After a professor had him in multiple classes,",Teresa,19.452167510986328
13,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After having her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes,",Marie,18.387550354003906
13,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After having him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the",dancer,16.126516342163086
14,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a stranger bought her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After a stranger bought her a pumpkin-spice latte,",Heidi,15.702362060546875
14,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a stranger bought him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After a stranger bought him a pumpkin-spice latte,",Sally,16.19988250732422
14,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After buying her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte,",Mary,13.785805702209473
14,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After buying him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte,",Amanda,15.472871780395508
15,CATAMARAN2-FIN-Match,No Constraint,Match,her,"While someone writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While someone writing her a reminder note,",Catherine,15.714049339294434
15,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"While someone writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While someone writing him a reminder note, the",wife,11.628817558288574
15,CATAMARAN2-OBJ-Match,Constraint,Match,her,"While writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note,",Linda,12.822769165039062
15,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"While writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note,",Marie,12.838747024536133
16,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a waiter poured her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After a waiter poured her some hot tea,",Ann,12.4066743850708
16,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a waiter poured him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After a waiter poured him some hot tea, the",dancer,12.11361312866211
16,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After pouring her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the",dancer,12.976795196533203
16,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After pouring him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea,",Sheila,17.057388305664062
17,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a volunteer left her a voice message, Stephanie also sent Marissa a text containing the same information.","After a volunteer left her a voice message,",Ann,11.594347953796387
17,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a volunteer left him a voice message, Stephanie also sent Marcus a text containing the same information.","After a volunteer left him a voice message,",Ann,12.692771911621094
17,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After leaving her a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her a voice message,",Helen,15.910662651062012
17,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After leaving him a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving him a voice message, the",girlfriend,11.726655960083008
18,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After someone sent her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After someone sent her a thank-you note,",Leslie,15.754498481750488
18,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After someone sent him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After someone sent him a thank-you note, the",girlfriend,12.61506175994873
18,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After sending her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her a thank-you note, the",wife,9.92971420288086
18,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After sending him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending him a thank-you note,",Janet,16.21915054321289
19,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before a chaperon took her kids on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before a chaperon took her kids on the roller coaster,",Helen,12.98566722869873
19,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,his,"Before a chaperon took his kids on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before a chaperon took his kids on the roller coaster,",Sally,15.938526153564453
19,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before taking her on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster,",Cynthia,16.03890037536621
19,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before taking him on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the",dancer,13.500073432922363
20,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After anyone took her to a social event, Rebecca always checked with Julia to see whether they actually had a good time.","After anyone took her to a social event,",Janet,17.605648040771484
20,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After anyone took him to a social event, Rebecca always checked with Elijah to see whether they actually had a good time.","After anyone took him to a social event, the",dancer,14.245361328125
20,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After taking her to a social event, Rebecca always checked with Julia to see whether she actually had a good time.","After taking her to a social event,",Janet,15.438297271728516
20,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After taking him to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking him to a social event, the",dancer,11.969754219055176
21,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before auctioneers showed her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before auctioneers showed her any new paintings,",Amanda,14.301233291625977
21,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"Before auctioneers showed him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before auctioneers showed him any new paintings,",Marie,14.670103073120117
21,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before showing her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings,",Janet,15.256244659423828
21,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before showing him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings,",Julia,14.907490730285645
22,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a student nominated her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After a student nominated her for class president,",Helen,12.327022552490234
22,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a student nominated him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After a student nominated him for class president, the",wife,13.964608192443848
22,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After nominating her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president,",Carrie,12.750709533691406
22,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After nominating him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the",dancer,16.686567306518555
23,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After everyone watched her on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After everyone watched her on the Voice,",Helen,12.724674224853516
