item,exp,pronoun,cond,contrast,sent,target,model,surp
1,1,he,m,Match,"When he was off work,",Richard,gpt-neo-2.7B,12.711874961853027
1,1,she,m,Mismatch,"When she was off work,",Keith,gpt-neo-2.7B,15.327035903930664
1,1,she,f,Match,"When she was off work, the",dancer,gpt-neo-2.7B,13.796379089355469
1,1,he,f,Mismatch,"When he was off work,",Laura,gpt-neo-2.7B,13.419382095336914
2,1,he,m,Match,"When he arrived,",Larry,gpt-neo-2.7B,14.583518028259276
2,1,she,m,Mismatch,"When she arrived,",Wayne,gpt-neo-2.7B,17.06858253479004
2,1,she,f,Match,"When she arrived,",Cheryl,gpt-neo-2.7B,16.465227127075195
2,1,he,f,Mismatch,"When he arrived,",Teresa,gpt-neo-2.7B,15.387298583984377
3,1,he,m,Match,"When he was fed up,",Guy,gpt-neo-2.7B,16.539613723754883
3,1,she,m,Mismatch,"When she was fed up,",Joseph,gpt-neo-2.7B,14.832590103149414
3,1,she,f,Match,"When she was fed up,",Cynthia,gpt-neo-2.7B,17.076248168945312
3,1,he,f,Mismatch,"When he was fed up, the",wife,gpt-neo-2.7B,10.058075904846191
4,1,he,m,Match,"When he was talking,",Joseph,gpt-neo-2.7B,13.74606227874756
4,1,she,m,Mismatch,"When she was talking,",Bradley,gpt-neo-2.7B,16.298561096191406
4,1,she,f,Match,"When she was talking,",Dana,gpt-neo-2.7B,15.960527420043944
4,1,he,f,Mismatch,"When he was talking,",Janet,gpt-neo-2.7B,15.298871040344238
5,1,he,m,Match,"When he was nearby,",Larry,gpt-neo-2.7B,14.49790859222412
5,1,she,m,Mismatch,"When she was nearby,",Joseph,gpt-neo-2.7B,14.586068153381348
5,1,she,f,Match,"When she was nearby, the",girl,gpt-neo-2.7B,6.515973567962647
5,1,he,f,Mismatch,"When he was nearby,",Helen,gpt-neo-2.7B,14.89662265777588
6,1,he,m,Match,"When he was lost,",Donald,gpt-neo-2.7B,15.956642150878906
6,1,she,m,Mismatch,"When she was lost,",Brad,gpt-neo-2.7B,16.49736976623535
6,1,she,f,Match,"When she was lost,",Judy,gpt-neo-2.7B,17.109546661376953
6,1,he,f,Mismatch,"When he was lost, the",dancer,gpt-neo-2.7B,15.782726287841797
7,1,he,m,Match,"When he was bad-tempered,",Guy,gpt-neo-2.7B,18.034202575683597
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,gpt-neo-2.7B,16.176998138427734
7,1,she,f,Match,"When she was bad-tempered, the",woman,gpt-neo-2.7B,7.968629360198975
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,gpt-neo-2.7B,15.011009216308594
8,1,he,m,Match,"When he was jealous, the",father,gpt-neo-2.7B,8.063979148864746
8,1,she,m,Mismatch,"When she was jealous,",Steve,gpt-neo-2.7B,15.159095764160156
8,1,she,f,Match,"When she was jealous,",Catherine,gpt-neo-2.7B,14.625349044799805
8,1,he,f,Mismatch,"When he was jealous, the",dancer,gpt-neo-2.7B,14.020723342895508
9,1,he,m,Match,"When he was in residence,",Dan,gpt-neo-2.7B,14.433792114257812
9,1,she,m,Mismatch,"When she was in residence,",Russell,gpt-neo-2.7B,15.60724639892578
9,1,she,f,Match,"When she was in residence, the",woman,gpt-neo-2.7B,7.578768253326416
9,1,he,f,Mismatch,"When he was in residence, the",wife,gpt-neo-2.7B,9.687759399414062
10,1,he,m,Match,"When he was introduced,",Wayne,gpt-neo-2.7B,16.601163864135742
10,1,she,m,Mismatch,"When she was introduced,",Steve,gpt-neo-2.7B,14.847647666931152
10,1,she,f,Match,"When she was introduced,",Sally,gpt-neo-2.7B,13.79786491394043
10,1,he,f,Mismatch,"When he was introduced,",Teresa,gpt-neo-2.7B,16.525135040283203
11,1,he,m,Match,"When he arrived,",Joseph,gpt-neo-2.7B,13.610079765319824
11,1,she,m,Mismatch,"When she arrived,",Richard,gpt-neo-2.7B,12.782387733459473
11,1,she,f,Match,"When she arrived,",Cheryl,gpt-neo-2.7B,16.465208053588867
11,1,he,f,Mismatch,"When he arrived,",Janet,gpt-neo-2.7B,15.705761909484863
12,1,he,m,Match,"When he felt sad,",Guy,gpt-neo-2.7B,17.1873836517334
12,1,she,m,Mismatch,"When she felt sad,",Rodney,gpt-neo-2.7B,21.02605438232422
12,1,she,f,Match,"When she felt sad,",Amanda,gpt-neo-2.7B,16.251930236816406
12,1,he,f,Mismatch,"When he felt sad,",Sally,gpt-neo-2.7B,16.499622344970703
13,1,he,m,Match,"When he was present,",Wayne,gpt-neo-2.7B,16.81264877319336
13,1,she,m,Mismatch,"When she was present,",Larry,gpt-neo-2.7B,15.71787929534912
13,1,she,f,Match,"When she was present,",Carrie,gpt-neo-2.7B,16.016389846801758
13,1,he,f,Mismatch,"When he was present,",Lori,gpt-neo-2.7B,17.988971710205078
14,1,he,m,Match,"When he was depressed,",Richard,gpt-neo-2.7B,13.044267654418944
14,1,she,m,Mismatch,"When she was depressed,",Steve,gpt-neo-2.7B,15.133427619934082
14,1,she,f,Match,"When she was depressed,",Cynthia,gpt-neo-2.7B,18.39195442199707
14,1,he,f,Mismatch,"When he was depressed,",Amelia,gpt-neo-2.7B,19.133230209350582
15,1,he,m,Match,"When he was around,",Brad,gpt-neo-2.7B,13.862287521362305
15,1,she,m,Mismatch,"When she was around,",Wayne,gpt-neo-2.7B,16.761972427368164
15,1,she,f,Match,"When she was around,",Marie,gpt-neo-2.7B,13.290616989135742
