item,exp,pronoun,cond,contrast,sent,target,/data/gpt2-xl_surp
1,1,he,m,Match,"When he was off work,",Richard,13.532821655273438
1,1,she,m,Mismatch,"When she was off work,",Keith,15.606739044189453
1,1,she,f,Match,"When she was off work, the",dancer,15.686036109924316
1,1,he,f,Mismatch,"When he was off work,",Laura,15.073165893554688
2,1,he,m,Match,"When he arrived,",Larry,14.004541397094727
2,1,she,m,Mismatch,"When she arrived,",Wayne,14.768468856811523
2,1,she,f,Match,"When she arrived,",Cheryl,15.723817825317383
2,1,he,f,Mismatch,"When he arrived,",Teresa,16.224876403808594
3,1,he,m,Match,"When he was fed up,",Guy,15.472138404846191
3,1,she,m,Mismatch,"When she was fed up,",Joseph,13.859477996826172
3,1,she,f,Match,"When she was fed up,",Cynthia,15.795924186706543
3,1,he,f,Mismatch,"When he was fed up, the",wife,9.95580005645752
4,1,he,m,Match,"When he was talking,",Joseph,13.949629783630371
4,1,she,m,Mismatch,"When she was talking,",Bradley,15.501847267150879
4,1,she,f,Match,"When she was talking,",Dana,16.793718338012695
4,1,he,f,Mismatch,"When he was talking,",Janet,16.238481521606445
5,1,he,m,Match,"When he was nearby,",Larry,14.520710945129395
5,1,she,m,Mismatch,"When she was nearby,",Joseph,13.69869327545166
5,1,she,f,Match,"When she was nearby, the",girl,5.977612018585205
5,1,he,f,Mismatch,"When he was nearby,",Helen,14.859430313110352
6,1,he,m,Match,"When he was lost,",Donald,14.385319709777832
6,1,she,m,Mismatch,"When she was lost,",Brad,16.349525451660156
6,1,she,f,Match,"When she was lost,",Judy,14.775731086730957
6,1,he,f,Mismatch,"When he was lost, the",dancer,16.684707641601562
7,1,he,m,Match,"When he was bad-tempered,",Guy,18.878915786743164
7,1,she,m,Mismatch,"When she was bad-tempered,",Bruce,15.494976043701172
7,1,she,f,Match,"When she was bad-tempered, the",woman,8.03370189666748
7,1,he,f,Mismatch,"When he was bad-tempered,",Ann,15.432103157043457
8,1,he,m,Match,"When he was jealous, the",father,6.9980621337890625
8,1,she,m,Mismatch,"When she was jealous,",Steve,15.13509750366211
8,1,she,f,Match,"When she was jealous,",Catherine,15.751198768615723
8,1,he,f,Mismatch,"When he was jealous, the",dancer,15.146247863769531
9,1,he,m,Match,"When he was in residence,",Dan,13.341527938842773
9,1,she,m,Mismatch,"When she was in residence,",Russell,13.862156867980957
9,1,she,f,Match,"When she was in residence, the",woman,7.294345378875732
9,1,he,f,Mismatch,"When he was in residence, the",wife,10.517497062683105
10,1,he,m,Match,"When he was introduced,",Wayne,13.940464973449707
10,1,she,m,Mismatch,"When she was introduced,",Steve,12.093981742858887
10,1,she,f,Match,"When she was introduced,",Sally,13.684873580932617
10,1,he,f,Mismatch,"When he was introduced,",Teresa,16.696367263793945
11,1,he,m,Match,"When he arrived,",Joseph,12.876605033874512
11,1,she,m,Mismatch,"When she arrived,",Richard,12.669661521911621
11,1,she,f,Match,"When she arrived,",Cheryl,15.723812103271484
11,1,he,f,Mismatch,"When he arrived,",Janet,15.939288139343262
12,1,he,m,Match,"When he felt sad,",Guy,17.32927894592285
12,1,she,m,Mismatch,"When she felt sad,",Rodney,19.13901138305664
12,1,she,f,Match,"When she felt sad,",Amanda,14.923757553100586
12,1,he,f,Mismatch,"When he felt sad,",Sally,16.604114532470703
13,1,he,m,Match,"When he was present,",Wayne,15.54627513885498
13,1,she,m,Mismatch,"When she was present,",Larry,14.916600227355957
13,1,she,f,Match,"When she was present,",Carrie,14.660146713256836
13,1,he,f,Mismatch,"When he was present,",Lori,17.704030990600586
14,1,he,m,Match,"When he was depressed,",Richard,13.934866905212402
