exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2_surp
TwoEmbedding,tells,understood,0,0_MMM_him,mmm,MatchMatchMatch,obj,Bill tells Stephen that Gerald understood,him,5.530749320983887
TwoEmbedding,tells,understood,0,0_MMF_him,mmf,MatchMatchMismatch,obj,Bill tells Stephen that Ann understood,him,5.359513282775879
TwoEmbedding,tells,understood,0,0_MFM_him,mfm,MatchMismatchMatch,obj,Bill tells Stacy that Gerald understood,him,5.884890079498291
TwoEmbedding,tells,understood,0,0_MFF_him,mff,MatchMismatchMismatch,obj,Bill tells Stacy that Ann understood,him,6.20382833480835
TwoEmbedding,tells,understood,0,0_FMM_him,fmm,MismatchMatchMatch,obj,Lori tells Stephen that Gerald understood,him,5.148808479309082
TwoEmbedding,tells,understood,0,0_FMF_him,fmf,MismatchMatchMismatch,obj,Lori tells Stephen that Ann understood,him,5.011951923370361
TwoEmbedding,tells,understood,0,0_FFM_him,ffm,MismatchMismatchMatch,obj,Lori tells Stacy that Gerald understood,him,5.737977981567383
TwoEmbedding,tells,understood,0,0_FFF_him,fff,MismatchMismatchMismatch,obj,Lori tells Stacy that Ann understood,him,5.961607933044434
TwoEmbedding,tells,understood,0,0_MMM_his,mmm,MatchMatchMatch,poss,Bill tells Stephen that Gerald understood,his,3.243957996368408
TwoEmbedding,tells,understood,0,0_MMF_his,mmf,MatchMatchMismatch,poss,Bill tells Stephen that Ann understood,his,4.635183334350586
TwoEmbedding,tells,understood,0,0_MFM_his,mfm,MatchMismatchMatch,poss,Bill tells Stacy that Gerald understood,his,3.5949833393096924
TwoEmbedding,tells,understood,0,0_MFF_his,mff,MatchMismatchMismatch,poss,Bill tells Stacy that Ann understood,his,5.869912147521973
TwoEmbedding,tells,understood,0,0_FMM_his,fmm,MismatchMatchMatch,poss,Lori tells Stephen that Gerald understood,his,3.355026960372925
TwoEmbedding,tells,understood,0,0_FMF_his,fmf,MismatchMatchMismatch,poss,Lori tells Stephen that Ann understood,his,5.025435447692871
TwoEmbedding,tells,understood,0,0_FFM_his,ffm,MismatchMismatchMatch,poss,Lori tells Stacy that Gerald understood,his,3.5841941833496094
TwoEmbedding,tells,understood,0,0_FFF_his,fff,MismatchMismatchMismatch,poss,Lori tells Stacy that Ann understood,his,5.884086608886719
TwoEmbedding,shows,visited,1,1_MMM_him,mmm,MatchMatchMatch,obj,Jason shows Russell that this boy visited,him,2.029773712158203
TwoEmbedding,shows,visited,1,1_MMF_him,mmf,MatchMatchMismatch,obj,Jason shows Russell that Judy visited,him,1.6276661157608032
TwoEmbedding,shows,visited,1,1_MFM_him,mfm,MatchMismatchMatch,obj,Jason shows Ruth that this boy visited,him,2.482330083847046
TwoEmbedding,shows,visited,1,1_MFF_him,mff,MatchMismatchMismatch,obj,Jason shows Ruth that Judy visited,him,2.46797776222229
TwoEmbedding,shows,visited,1,1_FMM_him,fmm,MismatchMatchMatch,obj,Carolyn shows Russell that this boy visited,him,3.240546941757202
TwoEmbedding,shows,visited,1,1_FMF_him,fmf,MismatchMatchMismatch,obj,Carolyn shows Russell that Judy visited,him,2.523975133895874
TwoEmbedding,shows,visited,1,1_FFM_him,ffm,MismatchMismatchMatch,obj,Carolyn shows Ruth that this boy visited,him,4.123229503631592
TwoEmbedding,shows,visited,1,1_FFF_him,fff,MismatchMismatchMismatch,obj,Carolyn shows Ruth that Judy visited,him,4.497835636138916
