exp,verb,frameNum,uid,gender,cond,pronoun,sent,target
About,shouldn't confuse,0,0_M_him,m,Match,obj,The book about Peter shouldn't confuse,him
About,shouldn't confuse,0,0_F_him,f,Mismatch,obj,The book about Michelle shouldn't confuse,him
About,shouldn't confuse,0,0_M_his,m,Match,poss,The book about Peter shouldn't confuse,his
About,shouldn't confuse,0,0_F_his,f,Mismatch,poss,The book about Michelle shouldn't confuse,his
About,confuses,1,1_M_him,m,Match,obj,The pamphlet about Todd confuses,him
About,confuses,1,1_F_him,f,Mismatch,obj,The pamphlet about Kimberley confuses,him
About,confuses,1,1_M_his,m,Match,poss,The pamphlet about Todd confuses,his
About,confuses,1,1_F_his,f,Mismatch,poss,The pamphlet about Kimberley confuses,his
About,embarrassed,2,2_M_him,m,Match,obj,The brochure about Bradley embarrassed,him
About,embarrassed,2,2_F_him,f,Mismatch,obj,The brochure about Holly embarrassed,him
About,embarrassed,2,2_M_his,m,Match,poss,The brochure about Bradley embarrassed,his
About,embarrassed,2,2_F_his,f,Mismatch,poss,The brochure about Holly embarrassed,his
About,was hindering,3,3_M_him,m,Match,obj,The play about Todd was hindering,him
About,was hindering,3,3_F_him,f,Mismatch,obj,The play about that mother was hindering,him
About,was hindering,3,3_M_his,m,Match,poss,The play about Todd was hindering,his
About,was hindering,3,3_F_his,f,Mismatch,poss,The play about that mother was hindering,his
About,wouldn't hinder,4,4_M_him,m,Match,obj,The movie about Eric wouldn't hinder,him
About,wouldn't hinder,4,4_F_him,f,Mismatch,obj,The movie about Elizabeth wouldn't hinder,him
About,wouldn't hinder,4,4_M_his,m,Match,poss,The movie about Eric wouldn't hinder,his
About,wouldn't hinder,4,4_F_his,f,Mismatch,poss,The movie about Elizabeth wouldn't hinder,his
About,should upset,5,5_M_him,m,Match,obj,The newspaper article about Steven should upset,him
About,should upset,5,5_F_him,f,Mismatch,obj,The newspaper article about Kirsten should upset,him
About,should upset,5,5_M_his,m,Match,poss,The newspaper article about Steven should upset,his
About,should upset,5,5_F_his,f,Mismatch,poss,The newspaper article about Kirsten should upset,his
About,was impressing,6,6_M_him,m,Match,obj,The story about Donald was impressing,him
About,was impressing,6,6_F_him,f,Mismatch,obj,The story about Sarah was impressing,him
About,was impressing,6,6_M_his,m,Match,poss,The story about Donald was impressing,his
About,was impressing,6,6_F_his,f,Mismatch,poss,The story about Sarah was impressing,his
About,did disturb,7,7_M_him,m,Match,obj,The essay about Craig did disturb,him
About,did disturb,7,7_F_him,f,Mismatch,obj,The essay about Tara did disturb,him
